SKYSCAN_1272 TEST RESULTS 	

Instrument SN: 15G09089-B
Control software version: 1.1.7
X-Ray Source: HAMAMATSU_L11871_20
Emission: 304 hours	
Voltage: 80kV,	 Current: 125uA	 CCD chip:20.4C
Date and Time: Aug 29, 2016  08:49:27

    test start

id	time	intensity	CCD chip
225	00h:25m:59s	46.8%	19.8C
226	00h:26m:05s	46.7%	19.8C
227	00h:26m:12s	46.8%	19.8C
228	00h:26m:19s	46.8%	19.8C
229	00h:26m:26s	46.8%	19.8C
230	00h:26m:33s	46.8%	19.8C
231	00h:26m:40s	46.7%	19.8C
232	00h:26m:47s	46.7%	19.8C
233	00h:26m:54s	46.7%	19.8C
234	00h:27m:01s	46.7%	19.8C
235	00h:27m:08s	46.8%	19.8C
236	00h:27m:15s	46.7%	19.8C
237	00h:27m:22s	46.8%	19.8C
238	00h:27m:29s	46.7%	19.8C
239	00h:27m:36s	46.8%	19.8C
240	00h:27m:43s	46.7%	19.8C
241	00h:27m:50s	46.7%	19.8C
242	00h:27m:57s	46.7%	19.8C
243	00h:28m:04s	46.7%	19.8C
244	00h:28m:11s	46.7%	19.8C
245	00h:28m:18s	46.7%	19.8C
246	00h:28m:26s	46.7%	19.8C
247	00h:28m:33s	46.7%	19.8C
248	00h:28m:40s	46.7%	19.8C
249	00h:28m:46s	46.7%	19.8C
250	00h:28m:53s	46.7%	19.8C
251	00h:29m:00s	46.7%	19.8C
252	00h:29m:07s	46.7%	19.8C
253	00h:29m:14s	46.7%	19.8C
254	00h:29m:21s	46.7%	19.8C
255	00h:29m:29s	46.7%	19.8C
256	00h:29m:36s	46.7%	19.8C
257	00h:29m:43s	46.7%	19.8C
258	00h:29m:50s	46.8%	19.8C
259	00h:29m:57s	46.7%	19.8C
260	00h:30m:03s	46.7%	19.8C
261	00h:30m:10s	46.7%	19.8C
262	00h:30m:17s	46.7%	19.8C
263	00h:30m:24s	46.7%	19.8C
264	00h:30m:32s	46.7%	19.8C
265	00h:30m:39s	46.7%	19.8C
266	00h:30m:46s	46.7%	19.8C
267	00h:30m:53s	46.7%	19.8C
268	00h:31m:00s	46.7%	19.8C
269	00h:31m:07s	46.7%	19.8C
270	00h:31m:14s	46.7%	19.8C
271	00h:31m:21s	46.7%	19.8C
272	00h:31m:28s	46.7%	19.8C
273	00h:31m:35s	46.7%	19.8C
274	00h:31m:42s	46.7%	19.8C
275	00h:31m:49s	46.7%	19.8C
276	00h:31m:57s	46.7%	19.8C
277	00h:32m:04s	46.7%	19.8C
278	00h:32m:11s	46.7%	19.8C
279	00h:32m:18s	46.7%	19.8C
280	00h:32m:25s	46.7%	19.8C
281	00h:32m:32s	46.7%	19.8C
282	00h:32m:39s	46.7%	19.8C
283	00h:32m:46s	46.7%	19.8C
284	00h:32m:53s	46.7%	19.8C
285	00h:33m:00s	46.7%	19.8C
286	00h:33m:08s	46.7%	19.8C
287	00h:33m:15s	46.7%	19.8C
288	00h:33m:21s	46.7%	19.8C
289	00h:33m:28s	46.7%	19.8C
290	00h:33m:35s	46.7%	19.8C
291	00h:33m:42s	46.7%	19.8C
292	00h:33m:49s	46.7%	19.8C
293	00h:33m:56s	46.7%	19.8C
294	00h:34m:03s	46.7%	19.8C
295	00h:34m:10s	46.7%	19.8C
296	00h:34m:17s	46.7%	19.8C
297	00h:34m:25s	46.7%	19.8C
298	00h:34m:32s	46.7%	19.8C
299	00h:34m:38s	46.7%	19.8C
300	00h:34m:45s	46.7%	19.8C
301	00h:34m:52s	46.7%	19.8C
302	00h:34m:59s	46.7%	19.8C
303	00h:35m:06s	46.7%	19.8C
304	00h:35m:13s	46.7%	19.8C
